	MadhabId	TableName	DateOfDeath	TafsirName	Lang
1	1	Al_Tabari	(ت 310 هـ)	جامع البيان في تفسير القرآن/ الطبري	1
2	1	Al_Kashaf	(ت 538 هـ)	الكشاف/ الزمخشري	1
3	4	Al_Tabrasi	(ت 548 هـ)	مجمع البيان في تفسير القرآن/ الطبرسي	1
4	1	Al_Razi	(ت 606 هـ)	مفاتيح الغيب ، التفسير الكبير/ الرازي	1
5	1	Al_Qurtobi	(ت 671 هـ)	الجامع لاحكام القرآن/ القرطبي	1
7	1	Ibn_Kathir	(ت 774 هـ)	تفسير القرآن العظيم/ ابن كثير	1
6	1	Al_Baydawi	(ت 685 هـ)	انوار التنزيل واسرار التأويل/ البيضاوي	1
74	1	Al_Jalalain_Eng		Tafsir al-Jalalayn	2
8	1	Al_Jalalain	(ت المحلي 864 هـ)	تفسير الجلالين/ المحلي و السيوطي	1
9	1	Al_Shoukani	(ت 1250 هـ)	فتح القدير/ الشوكاني	1
10	2	Ibn_Abbass	(ت817 هـ)	تفسير القرآن/ الفيروز آبادي 	1
73	2	Ibn_Abbass_Eng		Tanwîr al-Miqbâs min Tafsîr Ibn ‘Abbâs	2
11	2	Al_Samarkandi	(ت 375 هـ)	بحر العلوم/ السمرقندي	1
12	2	Al_Nokatt_Wa_Al_Oyoun	(ت 450 هـ)	النكت والعيون/ الماوردي	1
13	2	Al_Bagawi	(ت 516 هـ)	معالم التنزيل/ البغوي	1
14	2	Ibn_Atiyah	(ت 546 هـ)	المحرر الوجيز في تفسير الكتاب العزيز/ ابن عطية	1
15	2	Zad_Almasir	(ت 597 هـ)	زاد المسير في علم التفسير/ ابن الجوزي	1
16	2	Ibn_Abd_El_Salam	(ت 660 هـ)	تفسير القرآن/ ابن عبد السلام	1
17	2	Al_Nasafi	(ت 710 هـ)	مدارك التنزيل وحقائق التأويل/ النسفي	1
18	2	Al_Khazen	(ت 725 هـ)	لباب التأويل في معاني التنزيل/ الخازن	1
19	2	Al_Bahr_Al_Mouheet	(ت 754 هـ)	البحر المحيط/ ابو حيان	1
20	2	Ibn_Arafa	(ت 803 هـ)	التفسير/ ابن عرفة	1
22	2	ALQumeeAlNesabouri	(ت 728 هـ)	غرائب القرآن و رغائب الفرقان/القمي النيسابوري	1
23	2	Al_Thaalibi	(ت 875 هـ)	الجواهر الحسان في تفسير القرآن/ الثعالبي	1
24	2	Al_Lubab	(ت 880 هـ)	اللباب في علوم الكتاب/ ابن عادل	1
25	2	Al_Biqaee	(ت 885 هـ)	نظم الدرر في تناسب الآيات والسور/ البقاعي	1
26	2	AlSuitee	(ت 911 هـ)	الدر المنثور في التفسير بالمأثور/ السيوطي	1
28	2	Abu_AlSoud	(ت 951 هـ)	إرشاد العقل السليم إلى مزايا الكتاب الكريم/ ابو السعود	1
67	2	Al_Mokatel	(ت 150 هـ)	مقاتل بن سليمان/ مقاتل بن سليمان	1
75	2	Al_Thaalabi	(ت 427 هـ)	الكشف والبيان / الثعلبي	1
29	3	Al_Tusturi	(ت 283 هـ)	تفسير القرآن/ التستري	1
30	3	Haqaeq_Al_Tafsir	(ت 412 هـ)	حقائق التفسير/ السلمي	1
31	3	ALQushairee	(ت 465 هـ)	لطائف الإشارات / القشيري	1
32	3	Araess_AlBayan	(ت 606 هـ)	عرائس البيان في حقائق القرآن/ البقلي	1
33	3	Ibn_Arabi	(ت 638 هـ)	تفسير القرآن / ابن عربي	1
36	3	Rooh_Al_Bayan	(ت 1127 هـ)	روح البيان في تفسير القرآن/ اسماعيل حقي	1
37	3	Ibn_Ajiba	(ت 1224 هـ)	البحر المديد في تفسير القرآن المجيد/ ابن عجيبة	1
38	4	Al_Qummi	(ت القرن 4 هـ)	تفسير القرآن/ علي بن ابراهيم القمي	1
